Date,Open,High,Low,Close,Adj Close,Volume
2008-01-02,20.799999,21.250000,20.500000,20.610001,15.126311,5179400
2008-01-03,20.680000,20.799999,19.420000,19.639999,14.414396,6266100
2008-01-04,19.400000,19.400000,18.160000,18.930000,13.893303,7782200
2008-01-07,19.000000,19.080000,18.129999,18.770000,13.775879,4700100
2008-01-08,18.770000,18.840000,17.740000,17.780001,13.049285,5044700
2008-01-09,17.990000,17.990000,16.860001,17.719999,13.005252,7207900
2008-01-10,17.990000,19.330000,17.350000,18.969999,13.922662,7988000
2008-01-11,18.850000,18.870001,17.420000,17.700001,12.990572,6180700
2008-01-14,17.990000,19.610001,17.990000,19.190001,14.084131,6299400
2008-01-15,19.049999,19.650000,18.850000,18.879999,13.856611,6551200
2008-01-16,18.840000,19.030001,18.420000,18.770000,13.775879,5807700
2008-01-17,18.709999,19.530001,18.459999,19.100000,14.018073,6186400
2008-01-18,19.209999,20.809999,19.180000,19.690001,14.451093,7363600
2008-01-22,19.250000,22.190001,19.000000,21.820000,16.014368,13866600
2008-01-23,21.510000,22.830000,20.780001,22.639999,16.616188,7774500
2008-01-24,22.750000,23.080000,21.280001,21.780001,15.985012,7111400
2008-01-25,22.040001,22.500000,21.080000,21.459999,15.750146,5279300
2008-01-28,21.420000,23.110001,21.420000,23.110001,16.961134,5662700
2008-01-29,23.400000,23.469999,22.590000,23.160000,16.997835,5410200
2008-01-30,23.280001,23.520000,22.530001,22.590000,16.579491,4899400
2008-01-31,22.379999,23.360001,21.900000,22.980000,16.865723,7842000
2008-02-01,23.110001,23.549999,22.770000,23.520000,17.262045,4349400
2008-02-04,23.690001,23.840000,21.639999,21.879999,16.058401,5452200
2008-02-05,21.520000,22.330000,21.100000,21.379999,15.691434,5442300
2008-02-06,21.580000,21.840000,20.299999,20.620001,15.133650,6969600
2008-02-07,20.540001,21.799999,20.200001,21.590000,15.845562,4858100
2008-02-08,21.510000,22.250000,21.110001,21.650000,15.889599,3711600
2008-02-11,21.889999,22.459999,21.309999,22.200001,16.293257,2917000
2008-02-12,22.340000,22.590000,21.639999,21.940001,16.102440,2776500
2008-02-13,22.160000,22.370001,21.639999,22.290001,16.359316,2239300
2008-02-14,22.280001,22.330000,21.200001,21.209999,15.566666,3331100
2008-02-15,21.080000,21.620001,20.820000,21.280001,15.618040,2403800
2008-02-19,21.520000,21.639999,20.840000,20.969999,15.390521,2078600
2008-02-20,20.840000,21.879999,20.780001,21.780001,15.985012,3853300
2008-02-21,21.860001,22.290001,21.280001,21.379999,15.691434,2695500
2008-02-22,21.400000,22.190001,21.160000,22.120001,16.234545,2423700
2008-02-25,22.250000,22.809999,22.040001,22.760000,16.704264,3493400
2008-02-26,22.719999,23.620001,22.490000,23.270000,17.078564,3095500
2008-02-27,23.120001,23.730000,22.910000,23.450001,17.210672,4365700
2008-02-28,23.290001,23.320000,22.450001,22.549999,16.550129,3300100
2008-02-29,22.370001,22.379999,21.250000,21.370001,15.684102,3741900
2008-03-03,21.400000,21.500000,20.650000,21.049999,15.449239,4192600
2008-03-04,20.799999,21.549999,20.400000,21.450001,15.742812,4431700
