Date,Open,High,Low,Close,Adj Close,Volume
2008-01-02,8.640000,8.673333,8.343333,8.436666,8.436666,2906400
2008-01-03,8.430000,8.460000,8.073334,8.110000,8.110000,2644800
2008-01-04,8.040000,8.040000,7.640000,7.710000,7.710000,4484600
2008-01-07,7.656667,7.776667,7.540000,7.690000,7.690000,4986800
2008-01-08,7.680000,7.713333,7.420000,7.420000,7.420000,6260600
2008-01-09,7.416667,7.426667,6.906667,7.300000,7.300000,7863200
2008-01-10,7.176667,7.700000,7.123333,7.613333,7.613333,5985000
2008-01-11,7.546667,7.546667,7.323333,7.416667,7.416667,5415200
2008-01-14,7.556667,7.556667,7.313334,7.376667,7.376667,4539600
2008-01-15,7.283333,7.306667,7.093333,7.100000,7.100000,3512600
2008-01-16,7.043334,7.686666,7.033333,7.603333,7.603333,7772400
2008-01-17,7.620000,7.843333,7.600000,7.696667,7.696667,5774400
2008-01-18,7.710000,7.993333,7.633333,7.833333,7.833333,5996400
2008-01-22,7.373333,8.293333,7.203333,8.140000,8.140000,5392400
2008-01-23,7.956666,8.473333,7.680000,8.456667,8.456667,8672400
2008-01-24,8.456667,8.620000,8.246667,8.613334,8.613334,7091600
2008-01-25,8.630000,8.890000,8.476666,8.600000,8.600000,7515800
2008-01-28,8.566667,8.853333,8.490000,8.836667,8.836667,5808200
2008-01-29,8.886666,8.950000,8.590000,8.933333,8.933333,3738000
2008-01-30,8.870000,8.880000,8.526667,8.540000,8.540000,6887400
2008-01-31,8.480000,9.506667,8.293333,9.336667,9.336667,10038600
2008-02-01,9.333333,9.363334,9.000000,9.263333,9.263333,5462000
2008-02-04,9.213333,9.296667,8.736667,8.863334,8.863334,4955400
2008-02-05,8.766666,8.860000,8.480000,8.500000,8.500000,5038400
2008-02-06,8.506667,8.753333,8.253333,8.276667,8.276667,3704600
2008-02-07,8.233334,8.743333,8.216666,8.663333,8.663333,7637400
2008-02-08,8.633333,8.760000,8.333333,8.450000,8.450000,4274000
2008-02-11,8.440000,8.803333,8.343333,8.783334,8.783334,4320000
2008-02-12,8.833333,9.080000,8.726666,8.810000,8.810000,4860000
2008-02-13,8.913333,9.000000,8.783334,8.893333,8.893333,3935400
2008-02-14,8.923333,8.923333,8.436666,8.440000,8.440000,4158800
2008-02-15,8.410000,8.416667,8.246667,8.390000,8.390000,3392600
2008-02-19,8.500000,8.583333,8.180000,8.196667,8.196667,3426200
2008-02-20,8.140000,8.663333,8.123333,8.593333,8.593333,4467800
2008-02-21,8.600000,8.703333,8.320000,8.320000,8.320000,3453200
2008-02-22,8.300000,8.520000,8.166667,8.506667,8.506667,3486000
2008-02-25,8.466666,8.620000,8.146667,8.566667,8.566667,6287000
2008-02-26,8.446667,8.803333,8.366667,8.803333,8.803333,6353000
2008-02-27,9.283334,10.133333,9.283334,9.706667,9.706667,14936400
2008-02-28,9.576667,9.660000,9.323334,9.436666,9.436666,8352600
2008-02-29,9.433333,9.463333,8.873333,8.943334,8.943334,8759600
2008-03-03,8.870000,9.490000,8.700000,9.293333,9.293333,5162600
2008-03-04,9.160000,9.340000,9.070000,9.286667,9.286667,4986200
2008-03-05,9.363334,9.676666,9.316667,9.473333,9.473333,4670400
2008-03-06,9.496667,9.586667,8.933333,9.016666,9.016666,4172400
2008-03-07,8.930000,9.213333,8.756667,8.886666,8.886666,5020200
2008-03-10,8.883333,9.010000,8.666667,8.683333,8.683333,4443600
2008-03-11,8.880000,8.990000,8.606667,8.873333,8.873333,4483200
2008-03-12,8.873333,9.313334,8.780000,8.970000,8.970000,5659400
2008-03-13,8.990000,9.223333,8.810000,9.173333,9.173333,6947000
2008-03-14,9.266666,9.266666,8.793333,8.910000,8.910000,5625600
2008-03-17,8.740000,8.880000,8.406667,8.606667,8.606667,4466000
2008-03-18,8.740000,9.180000,8.630000,9.043333,9.043333,6603200
2008-03-19,9.033334,9.246667,8.853333,8.923333,8.923333,6322800
2008-03-20,8.943334,9.806666,8.923333,9.600000,9.600000,7190400
2008-03-24,9.653334,10.333333,9.653334,10.006667,10.006667,8452200
2008-03-25,9.900000,9.986667,9.556666,9.800000,9.800000,5950800
2008-03-26,9.766666,9.850000,9.406667,9.546667,9.546667,4475000
2008-03-27,9.566667,9.570000,9.146667,9.170000,9.170000,6123000
2008-03-28,9.216666,9.300000,8.963333,9.000000,9.000000,3938400
2008-03-31,8.990000,9.303333,8.946667,9.196667,9.196667,4285800
2008-04-01,9.303333,9.886666,9.303333,9.710000,9.710000,4965200
2008-04-02,9.923333,10.230000,9.826667,10.023334,10.023334,6095400
2008-04-03,9.963333,10.026667,9.626667,9.943334,9.943334,3893600
2008-04-04,9.926666,9.943334,9.623333,9.766666,9.766666,4053200
2008-04-07,9.720000,9.920000,9.510000,9.676666,9.676666,4193000
2008-04-08,9.626667,9.693334,9.370000,9.456667,9.456667,5147400
2008-04-09,9.563334,9.646667,9.166667,9.220000,9.220000,4191200
2008-04-10,9.250000,9.613334,9.136666,9.540000,9.540000,4089800
2008-04-11,9.423333,9.623333,9.323334,9.483334,9.483334,3217400
2008-04-14,9.543333,9.666667,9.383333,9.526667,9.526667,3511800
2008-04-15,9.580000,9.643333,9.440000,9.616667,9.616667,4900800
2008-04-16,9.666667,9.903334,9.633333,9.663333,9.663333,6332600
2008-04-17,9.620000,9.693334,9.396667,9.586667,9.586667,2773400
2008-04-18,9.770000,10.280000,9.700000,10.180000,10.180000,5787000
2008-04-21,10.033334,10.246667,10.003333,10.226666,10.226666,4522800
2008-04-22,10.166667,10.250000,9.820000,9.883333,9.883333,4013600
2008-04-23,9.850000,10.116667,9.716666,10.076667,10.076667,3594600
2008-04-24,10.133333,10.486667,10.023334,10.273334,10.273334,3717200
2008-04-25,10.416667,10.520000,10.130000,10.496667,10.496667,2654600
2008-04-28,10.480000,10.500000,10.210000,10.273334,10.273334,2640600
2008-04-29,10.250000,10.403334,10.120000,10.360000,10.360000,3586200
2008-04-30,10.400000,10.816667,10.186666,10.533334,10.533334,4636400
2008-05-01,10.533334,10.710000,10.436666,10.533334,10.533334,6144000
2008-05-02,10.630000,10.666667,10.183333,10.310000,10.310000,4558200
2008-05-05,10.320000,10.383333,10.050000,10.300000,10.300000,3217200
2008-05-06,10.273334,10.423333,10.046667,10.356667,10.356667,2678400
2008-05-07,10.330000,10.403334,10.046667,10.100000,10.100000,4313600
2008-05-08,10.330000,11.210000,10.326667,11.140000,11.140000,10032800
2008-05-09,11.026667,11.720000,11.026667,11.513333,11.513333,9343200
2008-05-12,11.663333,11.846666,11.336667,11.833333,11.833333,9247200
2008-05-13,11.760000,11.960000,11.640000,11.896667,11.896667,4952000
2008-05-14,11.970000,12.076667,11.736667,11.830000,11.830000,4764000
2008-05-15,11.813334,11.886666,11.683333,11.850000,11.850000,4604600
2008-05-16,11.916667,11.950000,11.460000,11.660000,11.660000,2863400
2008-05-19,11.640000,11.710000,11.320000,11.393333,11.393333,3897600
2008-05-20,11.286667,11.500000,11.110000,11.263333,11.263333,4415400
2008-05-21,11.236667,11.390000,10.870000,10.936666,10.936666,5026800
2008-05-22,11.003333,11.150000,10.836667,11.006667,11.006667,4441200
2008-05-23,10.990000,11.100000,10.770000,11.023334,11.023334,4908600
2008-05-27,11.060000,11.390000,10.936666,11.260000,11.260000,5233200
2008-05-28,11.583333,12.220000,11.406667,12.100000,12.100000,11540600
2008-05-29,12.000000,12.766666,12.000000,12.663333,12.663333,9043400
2008-05-30,12.786667,12.790000,12.236667,12.300000,12.300000,8930000
2008-06-02,12.300000,12.453333,12.013333,12.140000,12.140000,5705600
2008-06-03,12.156667,12.343333,12.016666,12.233334,12.233334,4112600
2008-06-04,12.156667,12.370000,12.056666,12.336667,12.336667,4449000
2008-06-05,12.363334,12.456667,12.323334,12.453333,12.453333,5677200
2008-06-06,12.326667,12.326667,12.010000,12.046667,12.046667,4065000
2008-06-09,12.020000,12.223333,11.966666,12.070000,12.070000,4826000
2008-06-10,11.963333,12.130000,11.813334,11.980000,11.980000,3776000
2008-06-11,11.950000,12.073334,11.750000,11.836667,11.836667,5108000
2008-06-12,11.946667,12.330000,11.916667,11.980000,11.980000,4124000
2008-06-13,12.090000,12.313334,12.046667,12.313334,12.313334,3152600
2008-06-16,12.246667,12.370000,12.100000,12.343333,12.343333,3262800
2008-06-17,12.333333,12.336667,12.116667,12.173333,12.173333,2729600
2008-06-18,12.000000,12.063334,11.756667,11.913333,11.913333,3491400
2008-06-19,11.876667,12.406667,11.773334,12.360000,12.360000,4362200
2008-06-20,12.266666,12.423333,11.750000,11.750000,11.750000,8283600
2008-06-23,11.780000,11.830000,11.360000,11.463333,11.463333,5722800
2008-06-24,11.436666,11.480000,11.016666,11.230000,11.230000,5755400
2008-06-25,11.216666,11.663333,11.216666,11.443334,11.443334,4197000
2008-06-26,11.316667,11.380000,11.036667,11.106667,11.106667,3116400
2008-06-27,11.150000,11.150000,10.623333,10.836667,10.836667,4391400
2008-06-30,10.683333,10.950000,10.243333,10.896667,10.896667,7228200
2008-07-01,10.800000,11.046667,10.483334,11.026667,11.026667,5384600
2008-07-02,11.470000,11.796667,11.286667,11.643333,11.643333,11814000
2008-07-03,11.660000,11.740000,11.276667,11.446667,11.446667,2891600
2008-07-07,11.486667,11.880000,11.293333,11.476666,11.476666,3551000
2008-07-08,11.443334,11.986667,11.410000,11.926666,11.926666,5471600
2008-07-09,12.046667,12.200000,11.813334,11.890000,11.890000,4698600
2008-07-10,11.853333,11.920000,11.443334,11.573334,11.573334,5201600
2008-07-11,11.440000,11.560000,11.090000,11.390000,11.390000,3155400
2008-07-14,11.493333,11.643333,11.036667,11.130000,11.130000,3872600
2008-07-15,11.160000,11.390000,10.506667,11.306666,11.306666,6688400
2008-07-16,11.320000,12.203333,11.240000,12.130000,12.130000,7258200
2008-07-17,12.233334,12.773334,11.926666,12.616667,12.616667,6345800
2008-07-18,12.450000,12.600000,12.093333,12.296667,12.296667,3459600
2008-07-21,12.310000,12.383333,12.033334,12.103333,12.103333,3010400
2008-07-22,11.950000,12.743333,11.950000,12.690000,12.690000,4821000
2008-07-23,12.370000,13.333333,12.310000,12.803333,12.803333,7385600
2008-07-24,12.806666,12.906667,12.313334,12.333333,12.333333,3988200
2008-07-25,12.346666,12.646667,12.093333,12.146667,12.146667,3260000
2008-07-28,12.220000,12.413333,11.816667,11.850000,11.850000,4129800
2008-07-29,11.790000,12.293333,11.786667,12.263333,12.263333,4608200
2008-07-30,12.323334,12.596666,11.903334,12.233334,12.233334,3279600
2008-07-31,12.253333,12.743333,11.990000,12.500000,12.500000,6029000
2008-08-01,12.423333,12.596666,12.136666,12.423333,12.423333,3667400
2008-08-04,12.450000,12.943334,12.300000,12.593333,12.593333,4719000
2008-08-05,12.683333,13.146667,12.473333,13.080000,13.080000,5531600
2008-08-06,12.930000,12.966666,12.416667,12.630000,12.630000,6876000
2008-08-07,12.500000,13.123333,12.490000,12.876667,12.876667,9141600
2008-08-08,12.940000,13.543333,12.940000,13.453333,13.453333,7068600
2008-08-11,13.430000,14.066667,13.333333,13.440000,13.440000,9841200
2008-08-12,13.383333,13.596666,13.096666,13.316667,13.316667,6811200
2008-08-13,13.253333,13.413333,12.750000,12.976666,12.976666,5178000
2008-08-14,12.950000,13.566667,12.893333,13.340000,13.340000,4956800
2008-08-15,13.376667,13.663333,13.273334,13.333333,13.333333,5526200
2008-08-18,13.433333,13.560000,13.316667,13.383333,13.383333,4712400
2008-08-19,13.276667,13.410000,13.103333,13.173333,13.173333,4578800
2008-08-20,13.256667,13.446667,12.970000,13.046667,13.046667,4919400
2008-08-21,12.946667,13.163333,12.890000,13.136666,13.136666,5078400
2008-08-22,13.160000,13.516666,13.080000,13.500000,13.500000,3492600
2008-08-25,13.456667,13.500000,12.893333,13.000000,13.000000,4643600
2008-08-26,13.070000,13.153334,12.803333,13.060000,13.060000,7994000
2008-08-27,12.133333,12.870000,12.103333,12.646667,12.646667,18102200
2008-08-28,12.663333,13.023334,12.536667,12.966666,12.966666,6912200
2008-08-29,12.926666,13.000000,12.770000,12.786667,12.786667,4245600
2008-09-02,13.000000,13.403334,12.850000,12.953333,12.953333,5360000
2008-09-03,12.893333,13.113334,12.786667,12.880000,12.880000,4323000
2008-09-04,12.760000,12.956667,12.666667,12.853333,12.853333,5505000
2008-09-05,12.706667,13.026667,12.513333,12.963333,12.963333,5205000
2008-09-08,13.113334,13.563334,13.030000,13.530000,13.530000,6580200
2008-09-09,13.416667,13.966666,13.230000,13.303333,13.303333,10044200
2008-09-10,13.370000,13.480000,13.106667,13.306666,13.306666,6042800
2008-09-11,13.163333,13.733334,13.036667,13.690000,13.690000,6229200
2008-09-12,13.430000,13.543333,13.053333,13.276667,13.276667,7825800
2008-09-15,13.013333,13.666667,12.943334,13.383333,13.383333,6166200
2008-09-16,13.103333,13.620000,12.720000,13.233334,13.233334,6774800
2008-09-17,12.910000,13.223333,12.546667,12.606667,12.606667,6983400
2008-09-18,12.513333,12.840000,12.363334,12.773334,12.773334,10701600
2008-09-19,13.226666,13.333333,12.446667,12.526667,12.526667,11237400
2008-09-22,12.543333,12.736667,12.046667,12.096666,12.096666,6487400
2008-09-23,12.103333,12.373333,12.033334,12.166667,12.166667,5614400
2008-09-24,12.023334,12.223333,11.903334,12.086667,12.086667,2638400
2008-09-25,12.166667,12.593333,12.006667,12.336667,12.336667,4895600
2008-09-26,12.130000,12.566667,12.110000,12.540000,12.540000,3121200
2008-09-29,12.366667,12.900000,12.093333,12.266666,12.266666,5605400
2008-09-30,12.400000,12.410000,12.046667,12.120000,12.120000,6161000
2008-10-01,12.233334,12.330000,11.936666,12.043333,12.043333,3973800
2008-10-02,11.886666,12.140000,11.713333,11.823334,11.823334,3346400
2008-10-03,12.010000,12.496667,11.733334,11.760000,11.760000,7212200
2008-10-06,11.613334,12.133333,11.166667,12.080000,12.080000,9027600
2008-10-07,12.070000,12.090000,11.433333,11.450000,11.450000,6085800
2008-10-08,11.230000,12.056666,11.230000,11.816667,11.816667,10483200
2008-10-09,11.946667,12.170000,10.703333,10.873333,10.873333,9657200
2008-10-10,10.570000,11.320000,10.056666,10.910000,10.910000,8913800
2008-10-13,11.496667,11.916667,11.326667,11.916667,11.916667,5161400
2008-10-14,11.983334,12.573334,11.113334,11.366667,11.366667,8325600
2008-10-15,11.450000,11.956667,11.176666,11.636666,11.636666,8360400
2008-10-16,11.670000,12.223333,11.040000,12.146667,12.146667,9670200
2008-10-17,11.786667,12.100000,10.793333,11.546667,11.546667,9524000
2008-10-20,11.713333,11.960000,11.443334,11.550000,11.550000,7313000
2008-10-21,11.496667,11.950000,11.420000,11.616667,11.616667,5511200
2008-10-22,11.566667,11.696667,11.083333,11.433333,11.433333,5491800
2008-10-23,11.526667,11.800000,11.053333,11.543333,11.543333,8806800
2008-10-24,10.526667,11.803333,10.430000,11.566667,11.566667,6805400
2008-10-27,11.383333,11.976666,11.110000,11.466666,11.466666,6282000
2008-10-28,11.596666,12.326667,11.243333,12.310000,12.310000,7119600
2008-10-29,12.323334,13.330000,12.133333,12.840000,12.840000,10804200
2008-10-30,13.176666,13.210000,12.570000,12.866667,12.866667,6730200
2008-10-31,12.913333,13.256667,12.436666,12.673333,12.673333,6800000
2008-11-03,12.696667,12.880000,12.560000,12.670000,12.670000,5173800
2008-11-04,12.813334,12.836667,12.283334,12.663333,12.663333,5987000
2008-11-05,12.350000,12.603333,11.823334,11.860000,11.860000,5933600
2008-11-06,12.193334,13.130000,12.156667,12.763333,12.763333,13618400
2008-11-07,12.820000,12.886666,12.386666,12.633333,12.633333,6366600
2008-11-10,12.916667,12.916667,12.413333,12.613334,12.613334,3244400
2008-11-11,12.543333,13.183333,12.280000,12.806666,12.806666,5315000
2008-11-12,12.823334,12.830000,12.466666,12.476666,12.476666,6189800
2008-11-13,12.740000,13.363334,12.133333,13.333333,13.333333,11649000
2008-11-14,13.366667,13.493333,12.686666,12.843333,12.843333,6194600
2008-11-17,12.796667,13.186666,12.476666,12.516666,12.516666,8379600
2008-11-18,12.416667,12.916667,12.140000,12.526667,12.526667,8019000
2008-11-19,12.496667,12.863334,12.303333,12.306666,12.306666,11364000
2008-11-20,12.180000,12.440000,11.363334,11.393333,11.393333,14400800
2008-11-21,11.566667,11.893333,9.203333,11.760000,11.760000,12480600
2008-11-24,11.876667,12.946667,11.593333,12.760000,12.760000,12734600
2008-11-25,13.440000,13.933333,12.760000,13.926666,13.926666,17150600
2008-11-26,13.506667,14.006667,13.453333,13.870000,13.870000,9998600
2008-11-28,14.000000,14.236667,13.593333,14.096666,14.096666,3265800
2008-12-01,14.000000,14.016666,13.016666,13.043333,13.043333,9088200
2008-12-02,13.346666,13.566667,12.546667,12.713333,12.713333,12020400
2008-12-03,12.506667,13.510000,12.506667,13.496667,13.496667,9852600
2008-12-04,13.573334,13.910000,13.070000,13.363334,13.363334,10680800
2008-12-05,13.483334,14.100000,12.916667,14.100000,14.100000,9079800
2008-12-08,13.983334,14.433333,13.263333,13.453333,13.453333,8110400
2008-12-09,13.473333,13.910000,13.250000,13.336667,13.336667,8406800
2008-12-10,13.596666,13.900000,13.333333,13.706667,13.706667,7045400
2008-12-11,13.546667,13.710000,13.353333,13.620000,13.620000,6896600
2008-12-12,13.266666,13.933333,13.246667,13.870000,13.870000,5941200
2008-12-15,13.850000,14.063334,13.413333,13.636666,13.636666,6803400
2008-12-16,13.856667,14.216666,13.663333,14.180000,14.180000,5800800
2008-12-17,13.993333,14.673333,13.886666,14.583333,14.583333,10524600
2008-12-18,14.703333,14.703333,14.326667,14.446667,14.446667,5736600
2008-12-19,14.476666,14.616667,14.213333,14.570000,14.570000,8865000
2008-12-22,14.026667,14.260000,13.896667,14.153334,14.153334,8772800
2008-12-23,14.146667,14.190000,13.733334,13.800000,13.800000,5547800
2008-12-24,13.800000,14.073334,13.700000,13.760000,13.760000,1649000
2008-12-26,13.910000,14.036667,13.703333,13.970000,13.970000,1954800
2008-12-29,13.740000,13.820000,13.500000,13.566667,13.566667,3120600
2008-12-30,13.790000,13.790000,13.426666,13.610000,13.610000,4349000
2008-12-31,13.653334,14.000000,13.506667,13.896667,13.896667,5470200
2009-01-02,13.966666,14.160000,13.873333,14.016666,14.016666,4418600
2009-01-05,14.080000,14.153334,13.750000,13.940000,13.940000,5728200
2009-01-06,13.960000,14.063334,13.166667,13.223333,13.223333,10810400
2009-01-07,13.666667,14.073334,13.503333,13.846666,13.846666,9786200
2009-01-08,13.766666,13.940000,13.370000,13.876667,13.876667,8239800
2009-01-09,13.890000,13.976666,13.483334,13.666667,13.666667,5319000
2009-01-12,13.603333,13.830000,13.426666,13.663333,13.663333,5088600
2009-01-13,13.583333,13.980000,13.470000,13.733334,13.733334,4842600
2009-01-14,13.510000,13.723333,13.480000,13.616667,13.616667,4861200
2009-01-15,13.956667,14.630000,13.686666,14.516666,14.516666,12044000
2009-01-16,14.626667,14.636666,14.240000,14.443334,14.443334,4798400
2009-01-20,14.336667,14.496667,14.106667,14.230000,14.230000,5925600
2009-01-21,14.333333,14.580000,13.983334,14.356667,14.356667,7133000
2009-01-22,14.230000,14.523334,14.003333,14.346666,14.346666,4245800
2009-01-23,14.203333,14.390000,14.020000,14.163333,14.163333,3755600
2009-01-26,14.243333,14.413333,14.056666,14.190000,14.190000,3410600
2009-01-27,14.303333,14.360000,14.116667,14.276667,14.276667,2630600
2009-01-28,14.446667,14.660000,14.326667,14.570000,14.570000,4127000
2009-01-29,14.546667,14.676666,14.323334,14.423333,14.423333,3588600
2009-01-30,14.446667,14.580000,14.166667,14.236667,14.236667,3749600
2009-02-02,14.290000,14.410000,14.036667,14.266666,14.266666,4222200
2009-02-03,14.313334,14.773334,14.136666,14.646667,14.646667,6516600
2009-02-04,14.306666,14.366667,13.736667,13.916667,13.916667,12307800
2009-02-05,12.750000,12.750000,11.386666,11.676666,11.676666,37380000
2009-02-06,12.010000,12.210000,11.633333,11.796667,11.796667,11869400
2009-02-09,11.790000,11.960000,11.680000,11.800000,11.800000,9026000
2009-02-10,11.816667,12.113334,11.586667,11.680000,11.680000,8586800
2009-02-11,11.690000,11.750000,11.243333,11.426666,11.426666,7310000
2009-02-12,11.200000,11.563334,11.050000,11.563334,11.563334,6632600
2009-02-13,11.446667,11.546667,11.180000,11.226666,11.226666,7778600
2009-02-17,11.010000,11.560000,10.980000,11.393333,11.393333,8997000
2009-02-18,11.550000,11.660000,11.176666,11.313334,11.313334,7986600
2009-02-19,11.316667,11.496667,11.256667,11.456667,11.456667,6038400
2009-02-20,11.483334,11.880000,11.480000,11.726666,11.726666,11428800
2009-02-23,11.766666,11.866667,11.570000,11.596666,11.596666,7836200
2009-02-24,11.616667,12.040000,11.613334,12.020000,12.020000,9798200
2009-02-25,12.130000,12.400000,11.843333,12.093333,12.093333,14531600
2009-02-26,12.573334,12.733334,12.330000,12.353333,12.353333,13189800
2009-02-27,12.323334,13.183333,12.200000,12.940000,12.940000,15597200
2009-03-02,12.916667,13.203333,12.873333,13.076667,13.076667,12247200
2009-03-03,13.166667,13.313334,12.626667,12.720000,12.720000,12975800
2009-03-04,12.876667,13.293333,12.690000,13.006667,13.006667,10125000
2009-03-05,13.143333,13.640000,13.033334,13.366667,13.366667,14647400
2009-03-06,13.400000,13.456667,12.850000,13.193334,13.193334,9381800
2009-03-09,13.043333,13.436666,12.910000,13.333333,13.333333,8933600
2009-03-10,13.466666,14.100000,13.383333,13.753333,13.753333,12377400
2009-03-11,13.750000,13.950000,13.490000,13.630000,13.630000,9795600
2009-03-12,13.603333,13.850000,13.376667,13.760000,13.760000,6910400
2009-03-13,13.686666,13.846666,13.590000,13.736667,13.736667,6407600
2009-03-16,13.673333,13.850000,13.320000,13.366667,13.366667,7334000
2009-03-17,13.320000,13.883333,13.263333,13.856667,13.856667,5538600
2009-03-18,13.790000,14.153334,13.623333,13.886666,13.886666,6247800
2009-03-19,13.916667,14.040000,13.660000,13.873333,13.873333,6425600
2009-03-20,13.770000,13.873333,13.500000,13.636666,13.636666,5310000
2009-03-23,13.670000,13.893333,13.423333,13.793333,13.793333,8109600
2009-03-24,13.370000,13.866667,13.370000,13.470000,13.470000,8793600
2009-03-25,13.600000,14.110000,13.526667,14.080000,14.080000,7148400
2009-03-26,14.090000,14.646667,14.070000,14.573334,14.573334,6327000
2009-03-27,14.426666,14.700000,14.196667,14.610000,14.610000,6467600
2009-03-30,14.456667,15.000000,14.310000,14.973333,14.973333,8647400
2009-03-31,15.006667,15.110000,14.670000,14.850000,14.850000,6996800
2009-04-01,14.726666,14.766666,14.376667,14.520000,14.520000,13388000
2009-04-02,14.686666,15.006667,14.323334,14.416667,14.416667,9023000
2009-04-03,13.883333,14.210000,13.833333,14.083333,14.083333,9435200
2009-04-06,13.976666,14.350000,13.970000,14.140000,14.140000,7325400
2009-04-07,14.303333,14.803333,14.233334,14.670000,14.670000,9678800
2009-04-08,14.670000,14.900000,14.433333,14.556666,14.556666,8771400
2009-04-09,14.876667,14.876667,14.356667,14.696667,14.696667,4806200
2009-04-13,14.686666,14.813334,14.523334,14.626667,14.626667,4956000
2009-04-14,14.533334,14.580000,14.280000,14.353333,14.353333,3758400
2009-04-15,14.490000,14.490000,13.916667,14.220000,14.220000,7224600
2009-04-16,14.270000,14.620000,14.186666,14.526667,14.526667,3916400
2009-04-17,14.563334,14.583333,14.193334,14.223333,14.223333,6087000
2009-04-20,14.166667,14.490000,14.083333,14.433333,14.433333,5535000
2009-04-21,14.480000,14.543333,14.070000,14.350000,14.350000,5559200
2009-04-22,14.213333,14.910000,14.136666,14.496667,14.496667,4122000
2009-04-23,14.460000,14.563334,14.170000,14.306666,14.306666,4872800
2009-04-24,14.333333,14.520000,14.123333,14.193334,14.193334,4692800
2009-04-27,14.183333,14.633333,14.010000,14.363334,14.363334,3127400
2009-04-28,14.416667,15.026667,14.326667,14.633333,14.633333,5262200
2009-04-29,14.770000,14.886666,14.300000,14.346666,14.346666,4072400
2009-04-30,14.480000,14.510000,14.096666,14.113334,14.113334,6069000
2009-05-01,14.310000,14.310000,13.720000,13.843333,13.843333,4198800
2009-05-04,14.006667,14.553333,13.860000,14.393333,14.393333,5298800
2009-05-05,14.306666,14.523334,14.183333,14.406667,14.406667,4647600
2009-05-06,14.443334,14.653334,14.023334,14.260000,14.260000,4840800
2009-05-07,14.733334,14.863334,14.350000,14.450000,14.450000,8237400
2009-05-08,14.616667,14.623333,13.886666,14.120000,14.120000,5257800
2009-05-11,13.773334,14.506667,13.703333,14.326667,14.326667,4803000
2009-05-12,14.513333,14.513333,14.030000,14.126667,14.126667,3569000
2009-05-13,14.023334,14.083333,13.846666,13.956667,13.956667,2756000
2009-05-14,14.020000,14.223333,13.903334,14.006667,14.006667,3069200
2009-05-15,13.946667,14.216666,13.873333,14.066667,14.066667,2595200
2009-05-18,14.333333,14.340000,13.720000,14.056666,14.056666,5967800
2009-05-19,13.950000,14.393333,13.920000,14.236667,14.236667,4448400
2009-05-20,14.466666,14.666667,13.860000,14.020000,14.020000,6594200
2009-05-21,14.003333,14.273334,13.923333,14.150000,14.150000,5126400
2009-05-22,14.200000,14.366667,14.003333,14.223333,14.223333,3745400
2009-05-26,14.386666,14.833333,14.143333,14.800000,14.800000,7303800
2009-05-27,14.840000,15.580000,14.703333,15.100000,15.100000,13415000
2009-05-28,15.083333,15.330000,14.716666,14.906667,14.906667,6543600
2009-05-29,14.966666,15.003333,14.630000,14.923333,14.923333,5109600
2009-06-01,14.930000,15.266666,14.840000,15.093333,15.093333,5517200
2009-06-02,15.076667,15.470000,14.950000,15.413333,15.413333,7156800
2009-06-03,15.343333,15.406667,15.026667,15.123333,15.123333,4014000
2009-06-04,15.050000,15.076667,14.516666,14.763333,14.763333,4458000
2009-06-05,14.820000,14.943334,14.606667,14.790000,14.790000,4143000
2009-06-08,14.853333,14.906667,14.660000,14.760000,14.760000,4229600
2009-06-09,14.863334,14.900000,14.493333,14.773334,14.773334,5265800
2009-06-10,14.813334,14.850000,14.540000,14.723333,14.723333,4536200
2009-06-11,14.770000,14.823334,14.470000,14.486667,14.486667,4983600
2009-06-12,14.453333,14.566667,14.186666,14.430000,14.430000,3515400
2009-06-15,14.393333,14.420000,14.053333,14.123333,14.123333,4538600
2009-06-16,14.130000,14.183333,13.733334,13.896667,13.896667,4683200
2009-06-17,13.866667,14.226666,13.773334,14.036667,14.036667,3949200
2009-06-18,14.113334,14.113334,13.846666,13.910000,13.910000,2283800
2009-06-19,14.033334,14.170000,13.910000,14.056666,14.056666,3526800
2009-06-22,13.860000,14.110000,13.820000,13.950000,13.950000,3135600
2009-06-23,13.913333,14.163333,13.736667,13.776667,13.776667,3163200
2009-06-24,13.803333,14.056666,13.700000,13.773334,13.773334,3766400
2009-06-25,13.783334,14.133333,13.780000,14.020000,14.020000,3067200
2009-06-26,14.026667,14.306666,13.920000,14.220000,14.220000,4191800
2009-06-29,14.286667,14.356667,14.103333,14.240000,14.240000,2231000
2009-06-30,14.216666,14.426666,13.990000,14.033334,14.033334,3247200
2009-07-01,14.150000,14.283334,14.110000,14.143333,14.143333,3109200
2009-07-02,13.996667,14.073334,13.746667,13.800000,13.800000,3226400
2009-07-06,13.686666,13.923333,13.546667,13.706667,13.706667,3371600
2009-07-07,13.743333,13.750000,13.526667,13.530000,13.530000,3148200
2009-07-08,14.043333,14.626667,14.000000,14.606667,14.606667,7685000
2009-07-09,14.696667,14.853333,14.473333,14.560000,14.560000,3360200
