Security,EK436961     Corp                                               ,
Start Date,9/25/15 0:00,
End Date,4/19/18 0:00,
Period,D,
Pricing Source,BMRK,
,,
Date,PX_LAST,YLD_YTM_MID
4/19/18,100.024,3.728
4/18/18,100.005,3.743
4/17/18,100.02,3.731
4/16/18,100.03,3.723
4/13/18,100.034,3.72
4/12/18,100.052,3.707
4/11/18,100.094,3.675
4/10/18,100.113,3.66
4/9/18,100.135,3.643
4/6/18,100.123,3.653
4/5/18,100.176,3.613
4/4/18,100.193,3.601
4/3/18,100.205,3.592
4/2/18,100.432,3.421
3/29/18,100.415,3.434
3/28/18,100.426,3.427
3/27/18,100.445,3.415
3/26/18,100.377,3.466
3/23/18,100.411,3.441
3/22/18,100.405,3.446
3/21/18,100.374,3.471
3/20/18,100.39,3.46
3/19/18,100.595,3.31
3/16/18,100.584,3.319
3/15/18,100.58,3.323
3/14/18,100.603,3.308
3/13/18,100.607,3.306
3/12/18,100.618,3.299
3/9/18,100.645,3.281
3/8/18,100.658,3.272
3/7/18,100.665,3.27
3/6/18,100.684,3.257
3/5/18,100.673,3.266
3/2/18,100.687,3.257
3/1/18,100.692,3.254
2/28/18,100.621,3.308
2/27/18,100.614,3.313
2/26/18,100.692,3.261
2/23/18,100.673,3.275
2/22/18,100.668,3.28
2/21/18,100.628,3.311
2/20/18,100.686,3.271
2/16/18,100.744,3.232
2/15/18,100.747,3.231
2/14/18,100.745,3.237
2/13/18,100.842,3.171
2/12/18,100.891,3.138
2/9/18,100.79,3.208
2/8/18,100.764,3.227
2/7/18,100.784,3.216
2/6/18,100.786,3.216
2/5/18,100.88,3.153
2/2/18,100.8,3.208
2/1/18,100.809,3.203
1/31/18,100.835,3.188
1/30/18,100.903,3.143
1/29/18,100.897,3.147
1/26/18,100.922,3.132
1/25/18,100.959,3.108
1/24/18,101.037,3.06
1/23/18,101.061,3.045
1/22/18,101.03,3.067
1/19/18,101.032,3.067
1/18/18,101.034,3.067
1/17/18,101.023,3.077
1/16/18,101.052,3.06
1/12/18,101.065,3.052
1/11/18,101.08,3.044
1/10/18,101.084,3.046
1/9/18,101.143,3.009
1/8/18,101.173,2.991
1/5/18,101.158,3.002
1/4/18,101.185,2.986
1/3/18,101.31,2.91
1/2/18,101.323,2.903
12/29/17,101.381,2.868
12/28/17,101.362,2.882
12/27/17,101.374,2.878
12/26/17,101.342,2.9
12/22/17,101.342,2.901
12/21/17,101.359,2.892
12/20/17,101.228,2.978
12/19/17,101.402,2.872
12/18/17,101.34,2.912
12/15/17,101.363,2.899
12/14/17,101.366,2.898
12/13/17,101.406,2.878
12/12/17,101.362,2.906
12/11/17,101.369,2.904
12/8/17,101.439,2.862
12/7/17,101.433,2.867
12/6/17,101.478,2.844
12/5/17,101.469,2.851
12/4/17,101.448,2.865
12/1/17,101.503,2.834
11/30/17,101.424,2.882
11/29/17,101.473,2.857
11/28/17,101.548,2.814
11/27/17,101.55,2.814
11/24/17,101.613,2.778
11/22/17,101.639,2.764
11/21/17,101.595,2.794
11/20/17,101.63,2.777
11/17/17,101.685,2.746
11/16/17,101.917,2.612
11/15/17,101.973,2.585
11/14/17,101.952,2.598
11/13/17,101.884,2.64
11/10/17,101.455,2.891
11/9/17,101.494,2.869
11/8/17,101.484,2.879
11/7/17,101.484,2.88
11/6/17,101.497,2.874
11/3/17,101.512,2.867
11/2/17,101.521,2.863
11/1/17,101.517,2.869
10/31/17,101.492,2.885
10/30/17,101.51,2.876
10/27/17,101.483,2.892
10/26/17,101.448,2.913
10/25/17,101.462,2.909
10/24/17,101.4,2.945
10/23/17,101.416,2.937
10/20/17,102.086,2.561
10/19/17,102.145,2.529
10/18/17,102.105,2.557
10/17/17,102.115,2.553
10/16/17,102.126,2.549
10/13/17,102.282,2.464
10/12/17,102.25,2.484
10/11/17,102.246,2.491
10/10/17,102.256,2.488
10/6/17,102.26,2.487
10/5/17,102.248,2.496
10/4/17,102.272,2.49
10/3/17,102.253,2.502
10/2/17,102.158,2.556
9/29/17,102.163,2.555
9/28/17,102.18,2.547
9/27/17,102.166,2.56
9/26/17,102.165,2.562
9/25/17,102.202,2.544
9/22/17,102.073,2.615
9/21/17,102.043,2.633
9/20/17,102.048,2.635
9/19/17,102.091,2.614
9/18/17,102.098,2.611
9/15/17,102.129,2.597
9/14/17,102.166,2.578
9/13/17,101.894,2.728
9/12/17,101.92,2.716
9/11/17,101.95,2.701
9/8/17,102.012,2.67
9/7/17,102.013,2.671
9/6/17,101.963,2.702
9/5/17,101.963,2.703
9/1/17,101.617,2.886
8/31/17,101.828,2.776
8/30/17,101.829,2.777
8/29/17,101.623,2.89
8/28/17,101.476,2.967
8/25/17,101.444,2.985
8/24/17,101.426,2.996
8/23/17,101.452,2.983
8/22/17,101.419,3.003
8/21/17,101.429,2.999
8/18/17,101.419,3.005
8/17/17,101.69,2.866
8/16/17,101.554,2.938
8/15/17,101.538,2.949
8/14/17,101.517,2.961
8/11/17,101.516,2.963
8/10/17,101.456,2.995
8/9/17,101.412,3.018
8/8/17,101.393,3.03
8/7/17,101.411,3.023
8/4/17,101.411,3.023
8/3/17,101.438,3.011
8/2/17,101.425,3.018
8/1/17,101.394,3.036
7/31/17,101.602,2.932
7/28/17,101.611,2.929
7/27/17,101.527,2.972
7/26/17,101.538,2.966
7/25/17,101.47,3.004
7/24/17,101.538,2.97
7/21/17,101.556,2.963
7/20/17,101.538,2.972
7/19/17,101.546,2.969
7/18/17,101.575,2.958
7/17/17,101.252,3.12
7/14/17,100.999,3.247
7/13/17,100.981,3.256
7/12/17,100.993,3.251
7/11/17,100.934,3.282
7/10/17,100.914,3.292
7/7/17,100.902,3.299
7/6/17,100.892,3.305
7/5/17,100.901,3.301
7/3/17,100.911,3.297
6/30/17,100.964,3.272
6/29/17,101.013,3.248
6/28/17,101.061,3.226
6/27/17,101.048,3.234
6/26/17,101.097,3.211
6/23/17,101.12,3.2
6/22/17,101.135,3.194
6/21/17,101.267,3.131
6/20/17,101.253,3.14
6/19/17,101.257,3.139
6/16/17,101.318,3.11
6/15/17,101.328,3.106
6/14/17,101.368,3.088
6/13/17,101.291,3.127
6/12/17,101.31,3.118
6/9/17,101.332,3.109
6/8/17,101.356,3.098
6/7/17,101.385,3.085
6/6/17,101.409,3.076
6/5/17,101.376,3.093
6/2/17,101.409,3.078
6/1/17,101.38,3.092
