Security,AO393625     Corp                                               ,
Start Date,7/19/17 0:00,
End Date,4/19/18 0:00,
Period,D,
Pricing Source,BMRK,
,,
Date,PX_LAST,YLD_YTM_MID
4/19/18,99.68,4.082
4/18/18,100.025,3.992
4/17/18,100.181,3.952
4/16/18,99.927,4.017
4/13/18,99.866,4.033
4/12/18,99.864,4.034
4/11/18,100.043,3.988
4/10/18,99.914,4.021
4/9/18,99.893,4.026
4/6/18,100.189,3.95
4/5/18,99.999,3.999
4/4/18,100.025,3.992
4/3/18,100.153,3.959
4/2/18,100.296,3.923
3/29/18,100.267,3.93
3/28/18,100.074,3.98
3/27/18,100.018,3.994
3/26/18,99.673,4.083
3/23/18,99.688,4.079
3/22/18,99.479,4.132
3/21/18,99.816,4.046
3/20/18,99.768,4.058
3/19/18,99.975,4.005
3/16/18,100.053,3.985
3/15/18,100.149,3.961
3/14/18,100.176,3.954
3/13/18,100.124,3.967
3/12/18,100.029,3.992
3/9/18,100.103,3.973
3/8/18,100.012,3.996
3/7/18,100.019,3.994
3/6/18,100.137,3.964
3/5/18,100.018,3.994
3/2/18,100.059,3.984
3/1/18,100.253,3.935
2/28/18,100.108,3.972
2/27/18,99.959,4.009
2/26/18,100.184,3.953
2/23/18,100.168,3.957
2/22/18,100.01,3.997
2/21/18,99.847,4.038
2/20/18,100.111,3.971
2/16/18,100.203,3.949
2/15/18,100.08,3.979
2/14/18,100.159,3.96
2/13/18,100.526,3.869
2/12/18,100.546,3.864
2/9/18,100.616,3.847
2/8/18,100.641,3.841
2/7/18,100.689,3.829
2/6/18,100.64,3.841
2/5/18,100.985,3.757
2/2/18,100.498,3.876
2/1/18,100.529,3.869
1/31/18,100.495,3.878
1/30/18,100.546,3.865
1/29/18,100.577,3.858
1/26/18,100.666,3.836
1/25/18,100.883,3.783
1/24/18,100.766,3.812
1/23/18,100.847,3.792
1/22/18,100.657,3.839
1/19/18,100.447,3.89
1/18/18,100.638,3.843
1/17/18,100.651,3.841
1/16/18,100.732,3.821
1/12/18,100.664,3.838
1/11/18,100.685,3.833
1/10/18,100.66,3.839
1/9/18,100.691,3.832
1/8/18,100.871,3.788
1/5/18,100.813,3.802
1/4/18,100.92,3.776
1/3/18,100.86,3.791
1/2/18,100.908,3.78
12/29/17,100.973,3.764
12/28/17,100.947,3.771
12/27/17,101.367,3.67
12/26/17,101.08,3.739
12/22/17,100.914,3.779
12/21/17,100.911,3.78
12/20/17,100.945,3.772
12/19/17,100.917,3.779
12/18/17,101.056,3.746
12/15/17,100.963,3.768
12/14/17,100.941,3.774
12/13/17,100.99,3.762
12/12/17,100.662,3.841
12/11/17,100.598,3.856
12/8/17,100.689,3.834
12/7/17,101.034,3.752
12/6/17,101.023,3.755
12/5/17,101.072,3.744
12/4/17,101.028,3.754
12/1/17,101.129,3.731
11/30/17,101.117,3.734
11/29/17,101.022,3.756
11/28/17,101.166,3.722
11/27/17,101.118,3.734
11/24/17,100.945,3.775
11/22/17,101.016,3.758
11/21/17,100.791,3.812
11/20/17,101.072,3.746
11/17/17,101.226,3.71
11/16/17,101.008,3.761
11/15/17,101.355,3.68
11/14/17,101.23,3.71
11/13/17,101.275,3.699
11/10/17,101.372,3.677
11/9/17,101.548,3.636
11/8/17,101.455,3.658
11/7/17,101.5,3.648
11/6/17,101.744,3.591
11/3/17,101.694,3.603
11/2/17,101.561,3.634
11/1/17,101.509,3.647
10/31/17,101.447,3.661
10/30/17,101.448,3.661
10/27/17,101.295,3.697
10/26/17,101.14,3.733
10/25/17,101.254,3.707
10/24/17,101.316,3.693
10/23/17,101.155,3.73
10/20/17,101.098,3.743
10/19/17,101.24,3.711
10/18/17,101.047,3.756
10/17/17,101.177,3.726
10/16/17,101.393,3.676
10/13/17,101.557,3.639
10/12/17,101.372,3.681
10/11/17,101.209,3.719
10/10/17,100.94,3.781
10/6/17,100.819,3.809
10/5/17,100.833,3.806
10/4/17,100.982,3.772
10/3/17,100.971,3.775
10/2/17,100.888,3.794
9/29/17,100.843,3.805
9/28/17,100.823,3.809
9/27/17,100.705,3.837
9/26/17,100.532,3.876
9/25/17,100.747,3.827
9/22/17,100.378,3.912
9/21/17,100.258,3.94
9/20/17,100.245,3.943
9/19/17,100.325,3.924
9/18/17,100.353,3.918
9/15/17,100.254,3.941
9/14/17,100.271,3.937
9/13/17,100.272,3.937
9/12/17,100.439,3.899
9/11/17,100.651,3.85
9/8/17,100.851,3.805
9/7/17,100.861,3.803
9/6/17,100.614,3.859
9/5/17,100.863,3.803
9/1/17,100.535,3.877
8/31/17,100.679,3.845
8/30/17,100.573,3.869
8/29/17,100.896,3.796
8/28/17,101.083,3.754
8/25/17,100.513,3.883
8/24/17,100.397,3.909
8/23/17,100.6,3.863
8/22/17,100.313,3.929
8/21/17,100.408,3.907
8/18/17,100.339,3.923
8/17/17,100.645,3.854
8/16/17,100.413,3.906
8/15/17,100.137,3.969
8/14/17,100.374,3.915
8/11/17,100.453,3.897
8/10/17,100.294,3.933
8/9/17,100.166,3.962
8/8/17,100.081,3.981
8/7/17,100.091,3.979
8/4/17,100.066,3.985
8/3/17,100.163,3.963
8/2/17,99.992,4.002
8/1/17,100.259,3.942
7/31/17,100.09,3.98
7/28/17,100.107,3.976
7/27/17,100.099,3.978
7/26/17,100.085,3.981
7/25/17,100.067,3.985
7/24/17,100.18,3.96
7/21/17,100.302,3.933
7/20/17,100.049,3.989
7/19/17,100.061,3.986
