Date,Open,High,Low,Close,Adj Close,Volume
2008-01-02,14.850000,14.970000,14.570000,14.630000,13.082116,777000
2008-01-03,14.560000,14.800000,14.400000,14.730000,13.171533,1225300
2008-01-04,14.560000,15.080000,14.380000,14.800000,13.234122,2305100
2008-01-07,14.900000,15.060000,14.600000,14.660000,13.108938,1200200
2008-01-08,14.750000,15.280000,14.410000,14.440000,12.912214,1576800
2008-01-09,14.420000,14.990000,14.350000,14.930000,13.350374,851400
2008-01-10,14.730000,15.690000,14.670000,15.100000,13.502388,934200
2008-01-11,14.890000,15.440000,14.680000,15.010000,13.421908,718400
2008-01-14,15.550000,16.219999,15.540000,15.630000,13.976311,1111500
2008-01-15,15.400000,15.780000,15.110000,15.130000,13.529210,849500
2008-01-16,15.050000,15.550000,15.000000,15.080000,13.484504,1211800
2008-01-17,15.110000,15.730000,14.700000,14.940000,13.359313,1462700
2008-01-18,14.830000,15.160000,14.780000,15.040000,13.448735,1350600
2008-01-22,14.420000,15.300000,14.420000,15.000000,13.412967,1481000
2008-01-23,14.510000,16.809999,14.510000,16.660000,14.897334,2814100
2008-01-24,16.730000,17.400000,16.469999,16.760000,14.986756,2989100
2008-01-25,17.090000,17.980000,16.010000,16.180000,14.468119,1811100
2008-01-28,15.860000,17.000000,15.850000,16.600000,14.843680,1073400
2008-01-29,16.680000,17.240000,16.370001,16.980000,15.183475,886800
2008-01-30,16.820000,17.280001,16.680000,16.830000,15.049348,1011300
2008-01-31,16.559999,17.600000,16.379999,17.190001,15.371252,1127500
2008-02-01,17.350000,17.440001,17.150000,17.260000,15.433853,746900
2008-02-04,17.240000,17.389999,16.690001,16.709999,14.942040,1007200
2008-02-05,16.320000,16.940001,16.320000,16.490000,14.745320,789000
2008-02-06,16.490000,17.150000,16.309999,16.639999,14.879451,891900
2008-02-07,16.450001,17.270000,16.440001,16.840000,15.058290,985800
2008-02-08,16.820000,17.000000,16.350000,16.780001,15.004640,462400
2008-02-11,16.719999,16.719999,16.350000,16.420000,14.682727,429800
2008-02-12,16.500000,17.090000,16.290001,16.459999,14.718498,306300
2008-02-13,16.650000,16.990000,15.820000,16.059999,14.360816,1013500
2008-02-14,16.129999,16.379999,15.670000,15.680000,14.021023,838700
2008-02-15,15.550000,15.640000,15.270000,15.520000,13.877949,596100
2008-02-19,15.700000,15.800000,15.480000,15.700000,14.038905,538000
