Security,KNX US 05/18/18 C50 Equity                                      ,
Start Date,9/18/17 0:00,
End Date,4/26/18 0:00,
Period,D,
Currency,USD,
,,
Date,PX_BID,PX_ASK
4/19/18,0.15,0.3
4/18/18,0.3,0.4
4/17/18,0.2,0.75
4/16/18,0.15,0.55
4/13/18,0.05,0.55
4/12/18,0.2,0.4
4/11/18,0.15,0.75
4/10/18,0.3,0.55
4/9/18,0.15,0.35
4/6/18,0.3,0.9
4/5/18,0.45,0.65
4/4/18,0.6,0.8
4/3/18,0.65,0.8
4/2/18,0.35,0.7
3/29/18,0.7,0.85
3/28/18,0.6,1
3/27/18,0.5,0.7
3/26/18,0.85,1.3
3/23/18,1.05,1.45
3/22/18,1.9,2.05
3/21/18,2.15,2.45
3/20/18,2,2.3
3/19/18,2,2.45
3/16/18,2.1,2.6
3/15/18,2.2,2.3
3/14/18,1.9,2.25
3/13/18,2.3,2.5
3/12/18,2.25,2.5
3/9/18,2,2.2
3/8/18,1.4,1.7
3/7/18,1.55,1.8
3/6/18,1.65,1.9
3/5/18,1.7,2.3
3/2/18,2,2.25
3/1/18,2,2.35
2/28/18,1.75,2.8
2/27/18,2,2.3
2/26/18,2.25,2.55
2/23/18,2.15,2.4
2/22/18,1.95,2.4
2/21/18,2.15,3
2/20/18,1.85,2.2
2/16/18,2.2,2.75
2/15/18,2.4,2.8
2/14/18,2.35,2.65
2/13/18,2.15,2.8
2/12/18,2,2.75
2/9/18,2,2.45
2/8/18,2.25,2.4
2/7/18,2.5,2.85
2/6/18,2.3,2.8
2/5/18,1.5,2.6
2/2/18,2.2,2.35
2/1/18,2.55,2.9
1/31/18,2.85,3.2
1/30/18,1.1,1.35
1/29/18,1.55,1.9
1/26/18,1.55,1.7
1/25/18,1.35,1.55
1/24/18,1.4,1.65
1/23/18,1.4,1.65
1/22/18,1.5,1.7
1/19/18,1.55,1.6
1/18/18,1.3,1.55
1/17/18,0.9,1.15
1/16/18,1,1.2
1/12/18,1.1,1.35
1/11/18,1.15,1.6
1/10/18,1,1.2
1/9/18,1.15,1.35
1/8/18,1.3,1.55
1/5/18,1.25,1.45
1/4/18,1.35,1.6
1/3/18,1.25,1.6
1/2/18,1.05,1.4
12/29/17,1.05,1.3
12/28/17,0.95,1.25
12/27/17,1.05,1.4
12/26/17,1.05,1.35
12/22/17,1.15,1.5
12/21/17,1.1,1.35
12/20/17,1.15,1.45
12/19/17,1,1.3
12/18/17,1.1,1.3
12/15/17,1.15,1.4
12/14/17,1,1.25
12/13/17,1.1,1.4
12/12/17,1,1.25
12/11/17,1,1.2
12/8/17,1,1.4
12/7/17,1.1,1.35
12/6/17,1,1.25
12/5/17,0.85,1.25
12/4/17,0.95,1.45
12/1/17,0.95,2.95
11/30/17,0.65,1
11/29/17,0.55,0.9
11/28/17,0.4,0.7
11/27/17,0.3,1.05
11/24/17,0.3,0.6
11/22/17,0.3,0.65
11/21/17,0.3,0.55
11/20/17,0.25,0.6
11/17/17,0.3,0.5
11/16/17,0.3,0.55
11/15/17,0.2,0.5
11/14/17,0.25,0.5
11/13/17,0.2,0.4
11/10/17,0.2,0.5
11/9/17,0.2,0.8
11/8/17,0.05,4.5
11/7/17,0.2,0.45
11/6/17,0.5,0.7
11/3/17,0.5,0.85
11/2/17,0.6,1.05
11/1/17,0.55,0.85
10/31/17,0.6,0.9
10/30/17,0.55,0.8
10/27/17,0.7,0.95
10/26/17,0.65,0.95
10/25/17,0.5,0.75
10/24/17,0.45,0.85
10/23/17,0.4,0.85
10/20/17,0.35,0.8
10/19/17,0.3,0.7
10/18/17,0.4,0.65
10/17/17,0.2,0.55
10/16/17,0.2,0.65
10/13/17,0.25,0.7
10/12/17,0.55,0.9
10/11/17,0.5,0.85
10/10/17,0.45,0.8
10/9/17,0.4,0.8
10/6/17,0.55,1
10/5/17,0.55,1.1
10/4/17,0.7,1.15
10/3/17,0.8,1.3
10/2/17,0.85,1.3
9/29/17,0.9,1.55
9/28/17,0.8,1.3
9/27/17,0.85,1.35
9/26/17,0.65,1.3
9/25/17,0.6,1.25
9/22/17,0.9,1.35
9/21/17,0.95,1.5
9/20/17,0.8,1.4
9/19/17,0.75,1.25
9/18/17,0.65,1.2
