Date,KNX US 05/18/18 C50 Equity (1.) Hist IVol (Best),,,
04/19/18,34.68880081,,,
04/18/18,34.37870026,,,
04/17/18,37.52109909,,,
04/16/18,38.52050018,,,
04/13/18,39.47000122,,,
04/12/18,37.70069885,,,
04/11/18,38.28319931,,,
04/10/18,40.50899887,,,
04/09/18,39.07410049,,,
04/06/18,35.92979813,,,
04/05/18,31.9015007,,,
04/04/18,31.98180008,,,
04/03/18,30.55310059,,,
04/02/18,30.41600037,,,
03/29/18,30.70059967,,,
03/28/18,30.84070015,,,
03/27/18,28.67130089,,,
03/26/18,29.625,,,
03/23/18,33.11130142,,,
03/22/18,29.73959923,,,
03/21/18,30.34090042,,,
03/20/18,29.31809998,,,
03/19/18,28.43899918,,,
03/16/18,29.14520073,,,
03/15/18,30.73189926,,,
03/14/18,29.65390015,,,
03/13/18,30.65509987,,,
03/12/18,32.7303009,,,
03/09/18,27.52149963,,,
03/08/18,29.73110008,,,
03/07/18,31.32139969,,,
03/06/18,29.26519966,,,
03/05/18,31.46680069,,,
03/02/18,28.88030052,,,
03/01/18,29.75779915,,,
02/28/18,30.37400055,,,
02/27/18,30.37470055,,,
02/26/18,29.94319916,,,
02/23/18,30.32690048,,,
02/22/18,30.51119995,,,
02/21/18,29.23290062,,,
02/20/18,30.19989967,,,
02/16/18,30.71980095,,,
02/15/18,29.81439972,,,
02/14/18,30.14760017,,,
02/13/18,29.9218998,,,
02/12/18,32.50540161,,,
02/09/18,31.37109947,,,
02/08/18,34.22729874,,,
02/07/18,30.49360085,,,
02/06/18,32.45869827,,,
02/05/18,30.21859932,,,
02/02/18,27.8166008,,,
02/01/18,27.6989994,,,
01/31/18,30.40970039,,,
01/30/18,27.83819962,,,
01/29/18,28.00970078,,,
01/26/18,25.90340042,,,
01/25/18,27.02079964,,,
01/24/18,27.21969986,,,
01/23/18,26.8260994,,,
01/22/18,26.63080025,,,
01/19/18,26.42300034,,,
01/18/18,27.12649918,,,
01/17/18,27.50810051,,,
01/16/18,27.75130081,,,
01/12/18,27.35470009,,,
01/11/18,27.85129929,,,
01/10/18,27.5590992,,,
01/09/18,26.54030037,,,
01/08/18,28.65579987,,,
01/05/18,27.7996006,,,
01/04/18,30.05789948,,,
01/03/18,29.88190079,,,
01/02/18,28.1371994,,,
12/29/17,29.19669914,,,
12/28/17,28.3166008,,,
12/27/17,28.42130089,,,
12/26/17,28.33550072,,,
12/22/17,29.83309937,,,
12/21/17,27.81049919,,,
12/20/17,28.06679916,,,
12/19/17,29.42060089,,,
12/18/17,28.25779915,,,
12/15/17,29.28089905,,,
12/14/17,28.72680092,,,
12/13/17,29.18280029,,,
12/12/17,28.61059952,,,
12/11/17,29.25580025,,,
12/08/17,29.10269928,,,
12/07/17,29.17860031,,,
12/06/17,29.30190086,,,
12/05/17,28.59339905,,,
12/04/17,29.33699989,,,
12/01/17,36.78340149,,,
11/30/17,25.70219994,,,
11/29/17,26.54579926,,,
11/28/17,26.53429985,,,
11/27/17,30.0291996,,,
11/24/17,26.5904007,,,
11/22/17,26.76689911,,,
11/21/17,26.3423996,,,
11/20/17,27.52669907,,,
11/17/17,27.2385006,,,
11/16/17,27.18560028,,,
11/15/17,27.71139908,,,
11/14/17,26.96229935,,,
11/13/17,26.69549942,,,
11/10/17,27.12800026,,,
11/09/17,29.03339958,,,
11/08/17,49.63180161,,,
11/07/17,25.45700073,,,
11/06/17,25.14299965,,,
11/03/17,25.32419968,,,
11/02/17,26.39660072,,,
11/01/17,25.67810059,,,
10/31/17,25.46109962,,,
10/30/17,25.42379951,,,
10/27/17,25.51880074,,,
10/26/17,25.8980999,,,
10/25/17,26.19059944,,,
10/24/17,26.26869965,,,
10/23/17,26.19029999,,,
10/20/17,25.1760006,,,
10/19/17,26.01930046,,,
10/18/17,26.33239937,,,
10/17/17,25.44309998,,,
10/16/17,25.56159973,,,
10/13/17,25.11000061,,,
10/12/17,25.77630043,,,
10/11/17,26.26880074,,,
10/10/17,25.58670044,,,
10/09/17,25.87779999,,,
10/06/17,27.75939941,,,
10/05/17,27.88019943,,,
10/04/17,27.76169968,,,
10/03/17,28.03580093,,,
10/02/17,27.23620033,,,
09/29/17,27.30439949,,,
09/28/17,28.36009979,,,
09/27/17,27.61160088,,,
09/26/17,27.84630013,,,
09/25/17,27.48810005,,,
09/22/17,27.98139954,,,
09/21/17,28.23150063,,,
09/20/17,27.67200089,,,
09/19/17,28.62010002,,,
09/18/17,28.37879944,,,
