Security,USGG10YR Index                                                  ,
Start Date,12/31/15 0:00,
End Date,4/27/18 0:00,
Period,D,
,,
Date,PX_LAST,PX_BID
4/19/18,2.9098,2.9117
4/18/18,2.8728,2.8746
4/17/18,2.8285,2.8304
4/16/18,2.8267,2.8285
4/13/18,2.8267,2.8285
4/12/18,2.8358,2.8376
4/11/18,2.7808,2.7826
4/10/18,2.8009,2.8027
4/9/18,2.779,2.7808
4/6/18,2.7735,2.7753
4/5/18,2.832,2.8338
4/4/18,2.8027,2.8045
4/3/18,2.7753,2.7771
4/2/18,2.7298,2.7316
3/30/18,2.7389,2.7407
3/29/18,2.7389,2.7407
3/28/18,2.7807,2.7825
3/27/18,2.7753,2.7771
3/26/18,2.852,2.8538
3/23/18,2.8135,2.8154
3/22/18,2.8244,2.8263
3/21/18,2.883,2.8849
3/20/18,2.8959,2.8977
3/19/18,2.8555,2.8573
3/16/18,2.8445,2.8463
3/15/18,2.828,2.8298
3/14/18,2.817,2.8189
3/13/18,2.8426,2.8444
3/12/18,2.8681,2.87
3/9/18,2.8938,2.8956
3/8/18,2.8571,2.8589
3/7/18,2.8827,2.8845
3/6/18,2.8863,2.8881
3/5/18,2.8808,2.8826
3/2/18,2.8643,2.8661
3/1/18,2.8078,2.8096
2/28/18,2.8606,2.8642
2/27/18,2.8934,2.8952
2/26/18,2.8623,2.8642
2/23/18,2.866,2.8696
2/22/18,2.9207,2.9225
2/21/18,2.95,2.9519
2/20/18,2.8896,2.8914
2/19/18,2.8749,2.8768
2/16/18,2.8749,2.8768
2/15/18,2.9095,2.9113
2/14/18,2.9022,2.904
2/13/18,2.8294,2.8312
2/12/18,2.8585,2.8603
2/9/18,2.8512,2.853
2/8/18,2.824,2.8258
2/7/18,2.8359,2.8378
2/6/18,2.8016,2.8035
2/5/18,2.7056,2.7075
2/2/18,2.8411,2.843
2/1/18,2.7896,2.7915
1/31/18,2.705,2.7069
1/30/18,2.7199,2.7217
1/29/18,2.6936,2.6955
1/26/18,2.6599,2.6618
1/25/18,2.617,2.6188
1/24/18,2.6465,2.6484
1/23/18,2.6131,2.6149
1/22/18,2.65,2.6519
1/19/18,2.6592,2.6611
1/18/18,2.6256,2.6274
1/17/18,2.5904,2.5923
1/16/18,2.5371,2.5389
1/15/18,2.5462,2.5498
1/12/18,2.5462,2.5498
1/11/18,2.5367,2.5385
1/10/18,2.5568,2.5586
1/9/18,2.553,2.5549
1/8/18,2.48,2.4818
1/5/18,2.4763,2.4781
1/4/18,2.4525,2.4544
1/3/18,2.4471,2.4489
1/2/18,2.4633,2.4651
1/1/18,2.4054,2.4072
12/29/17,2.4054,2.4072
12/28/17,2.4305,2.4323
12/27/17,2.4107,2.4125
12/26/17,2.4756,2.4774
12/25/17,2.481,2.4828
12/22/17,2.481,2.4828
12/21/17,2.4826,2.4844
12/20/17,2.497,2.4989
12/19/17,2.4644,2.4662
12/18/17,2.3942,2.3959
12/15/17,2.353,2.3547
12/14/17,2.3493,2.3511
12/13/17,2.3422,2.3439
12/12/17,2.4011,2.4029
12/11/17,2.3886,2.3903
12/8/17,2.376,2.3778
12/7/17,2.3634,2.3652
12/6/17,2.3385,2.3402
12/5/17,2.3509,2.3527
12/4/17,2.3723,2.3741
12/1/17,2.3615,2.3633
11/30/17,2.4097,2.4114
11/29/17,2.3882,2.39
11/28/17,2.3277,2.3294
11/27/17,2.3277,2.3294
11/24/17,2.3418,2.3436
11/23/17,2.3187,2.3205
11/22/17,2.3187,2.3205
11/21/17,2.3559,2.3577
11/20/17,2.3666,2.3683
11/17/17,2.3435,2.3452
