Date,Open,High,Low,Close,Adj Close,Volume
2008-01-02,16.080000,16.174999,15.675000,15.820000,10.405428,9781600
2008-01-03,15.820000,15.937500,15.595000,15.677500,10.311703,10636000
2008-01-04,15.560000,15.720000,15.425000,15.435000,10.152201,22335200
2008-01-07,15.500000,15.580000,15.325000,15.527500,10.213038,20808400
2008-01-08,15.600000,15.745000,15.385000,15.457500,10.166999,16714400
2008-01-09,15.507500,15.507500,15.282500,15.492500,10.190022,23320400
2008-01-10,15.480000,15.795000,15.325000,15.635000,10.283750,22925600
2008-01-11,15.510000,15.510000,15.052500,15.175000,9.981188,22223200
2008-01-14,15.267500,15.370000,14.962500,15.182500,9.986124,14272400
2008-01-15,14.967500,14.972500,14.250000,14.265000,9.382647,28277600
2008-01-16,14.235000,14.565000,14.027500,14.417500,9.482952,23447600
2008-01-17,14.430000,14.590000,13.990000,13.995000,9.205054,17617600
2008-01-18,14.112500,14.967500,14.000000,14.125000,9.290565,17035600
2008-01-22,12.990000,14.500000,12.875000,14.322500,9.420466,22090800
2008-01-23,13.875000,14.520000,13.502500,14.380000,9.458284,31090000
2008-01-24,14.405000,14.657500,14.062500,14.352500,9.440199,21211200
2008-01-25,14.545000,14.545000,13.897500,14.000000,9.208344,18719200
2008-01-28,14.007500,14.432500,13.917500,14.322500,9.420466,10897600
2008-01-29,14.392500,14.392500,14.070000,14.337500,9.430333,14388800
2008-01-30,14.565000,14.985000,14.520000,14.850000,9.767424,22191200
2008-01-31,14.845000,15.545000,14.795000,15.332500,10.084784,29711600
2008-02-01,15.410000,15.627500,15.125000,15.627500,10.278817,16319600
2008-02-04,15.632500,15.657500,15.060000,15.185000,9.987767,12340000
2008-02-05,14.947500,15.212500,14.877500,14.950000,9.833198,14421600
2008-02-06,15.080000,15.347500,14.960000,15.007500,9.871017,15425200
2008-02-07,14.895000,15.262500,14.887500,15.190000,9.991056,15486400
2008-02-08,15.137500,15.352500,14.952500,15.160000,9.971322,11468000
2008-02-11,15.185000,15.322500,15.000000,15.165000,9.974612,10993600
2008-02-12,15.202500,15.492500,15.140000,15.342500,10.091359,12473600
2008-02-13,15.467500,15.685000,15.205000,15.637500,10.285394,13797600
2008-02-14,15.722500,15.750000,15.517500,15.575000,10.244285,12611600
2008-02-15,15.540000,15.730000,15.420000,15.572500,10.242642,10672400
2008-02-19,15.722500,15.747500,15.225000,15.280000,10.050249,9342800
2008-02-20,15.185000,15.382500,15.115000,15.300000,10.063408,9100800
2008-02-21,14.915000,15.287500,14.915000,15.080000,9.918703,13146400
2008-02-22,15.112500,15.195000,14.915000,15.147500,9.963099,13349200
2008-02-25,15.175000,15.432500,15.072500,15.397500,10.127537,9977600
