Security,SPY US 04/20/18 P265 Equity                                     ,
Start Date,12/12/17 0:00,
End Date,4/20/18 0:00,
Period,D,
Currency,USD,
,,
Date,PX_LAST,PX_VOLUME
4/19/18,0.08,105435
4/18/18,0.14,30544
4/17/18,0.24,70977
4/16/18,0.78,37634
4/13/18,2.04,68492
4/12/18,2.22,34901
4/11/18,3.75,52498
4/10/18,3.43,34787
4/9/18,5.8,17056
4/6/18,6.6,17465
4/5/18,3.42,15727
4/4/18,4.56,6274
4/3/18,6.78,3153
4/2/18,9.51,35679
3/29/18,5.48,15313
3/28/18,7.52,10204
3/27/18,7,31418
3/26/18,4.6,39101
3/23/18,8.15,71948
3/22/18,5.77,63553
3/21/18,2.5,21567
3/20/18,2.46,50435
3/19/18,2.65,44383
3/16/18,1.62,26504
3/15/18,1.89,5285
3/14/18,2.15,16043
3/13/18,1.77,15008
3/12/18,1.54,8550
3/9/18,1.45,16888
3/8/18,2.56,6862
3/7/18,3.21,19126
3/6/18,3.35,7517
3/5/18,3.58,7176
3/2/18,4.77,10782
3/1/18,5.59,69611
2/28/18,3.92,11584
2/27/18,3.23,8712
2/26/18,2.12,3448
2/23/18,2.88,1492
2/22/18,4.23,3971
2/21/18,5.01,3837
2/20/18,4.58,9207
2/16/18,4.06,9697
2/15/18,4.14,6868
2/14/18,5.13,8816
2/13/18,7.09,9014
2/12/18,7.6,4530
2/9/18,10.5,1570
2/8/18,13.55,1880
2/7/18,7.09,4110
2/6/18,6.7,7863
2/5/18,12.39,4170
2/2/18,3.9,3649
2/1/18,2.29,1302
1/31/18,2.31,3856
1/30/18,2.53,1827
1/29/18,1.97,2119
1/26/18,1.54,2303
1/25/18,1.9,3452
1/24/18,1.86,2348
1/23/18,1.86,1557
1/22/18,1.87,1267
1/19/18,2.13,1271
1/18/18,2.45,748
1/17/18,2.38,553
1/16/18,2.75,1299
1/12/18,2.41,4463
1/11/18,2.64,3342
1/10/18,3.1,234
1/9/18,3.07,426
1/8/18,3.09,1190
1/5/18,3.26,2493
1/4/18,3.65,1706
1/3/18,3.96,382
1/2/18,4.65,155
12/29/17,5.22,50
12/28/17,5.03,4565
12/27/17,5.31,510
12/26/17,5.23,16
12/22/17,5.12,344
12/21/17,5.12,304
12/20/17,5.31,32
12/19/17,5.36,218
12/18/17,4.96,77
12/15/17,5.62,53
12/14/17,6.46,183
12/13/17,6.09,90
12/12/17,5.89,120
