Security,SPY US Equity                                                   ,
Start Date,1/2/08 0:00,
End Date,4/20/18 0:00,
Period,D,
Currency,USD,
,,
Date,PX_LAST,PX_VOLUME
4/20/18,266.61,99953133
4/19/18,268.89,77655909
4/18/18,270.39,57303857
4/17/18,270.19,64682036
4/16/18,267.33,63405287
4/13/18,265.15,85079176
4/12/18,265.93,68890480
4/11/18,263.76,91140243
4/10/18,265.15,105573736
4/9/18,261,105442932
4/6/18,259.72,179521209
4/5/18,265.64,82652618
4/4/18,263.56,123715339
4/3/18,260.77,119956861
4/2/18,257.47,186286343
3/29/18,263.15,124244790
3/28/18,259.83,146452306
3/27/18,260.6,129941445
3/26/18,265.11,141956102
3/23/18,258.05,183534751
3/22/18,263.67,148785916
3/21/18,270.43,78709578
3/20/18,270.95,59757271
3/19/18,270.49,109208442
3/16/18,274.2,100343673
3/15/18,275,83433038
3/14/18,275.3,105895079
3/13/18,276.72,91968937
3/12/18,278.52,71924793
3/9/18,278.87,113625335
3/8/18,274.1,66901150
3/7/18,272.78,87063502
3/6/18,272.88,79213163
3/5/18,272.19,97307387
3/2/18,269.08,139083217
3/1/18,267.7,176855077
2/28/18,271.65,121907767
2/27/18,274.43,99099165
2/26/18,277.9,86491406
2/23/18,274.71,92766428
2/22/18,270.4,110511290
2/21/18,270.05,98883740
2/20/18,271.4,86369662
2/16/18,273.11,160420135
2/15/18,273.03,111200286
2/14/18,269.59,120735685
2/13/18,266,81223640
2/12/18,265.34,143735976
2/9/18,261.5,283565315
2/8/18,257.63,246449505
2/7/18,267.67,167376100
2/6/18,269.13,355026782
2/5/18,263.93,294681816
2/2/18,275.45,173174790
2/1/18,281.58,90102470
1/31/18,281.9,118948131
1/30/18,281.76,131796419
1/29/18,284.68,90118337
1/26/18,286.58,107743119
1/25/18,283.3,84587313
1/24/18,283.18,134816117
1/23/18,283.29,97084700
1/22/18,282.69,91322408
1/19/18,280.41,140920098
1/18/18,279.14,100728006
1/17/18,279.61,113258799
1/16/18,276.97,106555142
1/12/18,277.92,90816076
1/11/18,276.12,62361455
1/10/18,274.12,69574318
1/9/18,274.54,57253957
1/8/18,273.92,57319192
1/5/18,273.42,83523995
1/4/18,271.61,80636408
1/3/18,270.47,90070416
1/2/18,268.77,86655749
12/29/17,266.86,96007424
12/28/17,267.87,45116139
12/27/17,267.32,57750986
12/26/17,267.19,45244433
12/22/17,267.51,78720873
12/21/17,267.58,67032339
12/20/17,267.03,76751500
12/19/17,267.17,82382876
12/18/17,268.2,83653572
12/15/17,266.51,144610290
12/14/17,265.66,100666692
12/13/17,266.75,102905409
12/12/17,266.78,85195750
12/11/17,266.31,83077533
12/8/17,265.51,76563873
12/7/17,264.07,77218569
12/6/17,263.24,75898566
12/5/17,263.19,77994544
12/4/17,264.14,94040560
12/1/17,264.46,164390902
11/30/17,265.01,127894389
11/29/17,262.71,77512102
11/28/17,262.87,98971719
11/27/17,260.23,52274922
11/24/17,260.36,27856514
11/22/17,259.76,45033392
11/21/17,259.99,69176799
11/20/17,258.3,48075514
11/17/17,257.86,75756833
11/16/17,258.62,67777027
11/15/17,256.44,80811525
11/14/17,257.73,61315152
11/13/17,258.33,50228648
11/10/17,258.09,59984662
11/9/17,258.17,95085497
11/8/17,259.11,50469579
11/7/17,258.67,57502161
11/6/17,258.85,49652598
11/3/17,258.45,59589730
11/2/17,257.59,56449535
11/1/17,257.49,54202736
10/31/17,257.15,60304781
10/30/17,256.75,54285687
10/27/17,257.71,85562544
10/26/17,255.62,69797972
10/25/17,255.29,103715291
10/24/17,256.56,66935910
10/23/17,256.11,63915306
10/20/17,257.11,89176377
10/19/17,255.79,61903788
10/18/17,255.72,40888330
10/17/17,255.47,31560964
10/16/17,255.29,38221675
10/13/17,254.95,54800435
10/12/17,254.64,47065144
10/11/17,255.02,47674325
10/10/17,254.62,43057363
10/9/17,253.95,35803138
10/6/17,254.37,80645998
10/5/17,254.66,63522757
10/4/17,253.16,55953619
10/3/17,252.86,66810169
10/2/17,252.32,59022985
9/29/17,251.23,85578002
9/28/17,250.35,44778841
9/27/17,250.05,81001426
9/26/17,249.08,54081959
9/25/17,248.93,57064357
9/22/17,249.44,51214032
9/21/17,249.39,48211398
9/20/17,250.06,59574083
9/19/17,249.97,47108148
9/18/17,249.72,46235238
9/15/17,249.19,95432382
9/14/17,250.09,95446349
9/13/17,250.17,59228002
9/12/17,250.05,56896027
9/11/17,249.21,71364848
9/8/17,246.58,63832825
9/7/17,246.87,58034730
9/6/17,246.9,57916867
9/5/17,246.06,91398777
9/1/17,247.84,62006989
8/31/17,247.49,103803880
8/30/17,246.01,62030805
8/29/17,244.85,51135715
8/28/17,244.57,40565606
8/25/17,244.56,64445912
8/24/17,243.99,50741671
8/23/17,244.56,50203837
8/22/17,245.44,63140101
8/21/17,242.9,65469736
8/18/17,242.71,136747986
8/17/17,243.09,128490396
8/16/17,246.94,56715544
8/15/17,246.51,55242746
8/14/17,246.54,73291919
8/11/17,244.12,74869947
8/10/17,243.76,120479470
8/9/17,247.25,62632619
8/8/17,247.26,61719353
8/7/17,247.87,31995021
8/4/17,247.41,60191838
8/3/17,246.96,40855997
8/2/17,247.44,47211216
8/1/17,247.32,55050401
7/31/17,246.77,65838659
7/28/17,246.91,50088359
7/27/17,247.2,70766568
7/26/17,247.43,47575422
7/25/17,247.42,54915591
7/24/17,246.82,46622256
7/21/17,246.88,88711019
7/20/17,247.1,47135183
7/19/17,246.99,51034260
7/18/17,245.66,42742498
7/17/17,245.53,33531917
7/14/17,245.56,60262692
7/13/17,244.42,39471637
7/12/17,244.01,59610405
7/11/17,242.19,50354614
7/10/17,242.37,36663274
7/7/17,242.11,57972268
7/6/17,240.55,66115317
7/5/17,242.77,54427596
7/3/17,242.21,39153806
6/30/17,241.8,86820694
6/29/17,241.35,106949719
6/28/17,243.49,70042599
6/27/17,241.33,82247666
6/26/17,243.29,56700477
6/23/17,243.13,66986801
6/22/17,242.84,44148059
6/21/17,242.95,55977569
6/20/17,243.01,56906368
6/19/17,244.66,65123802
6/16/17,242.64,84553097
6/15/17,243.77,66464888
6/14/17,244.24,78602311
6/13/17,244.55,60066953
6/12/17,243.36,86108102
6/9/17,243.41,132256362
6/8/17,243.78,65950691
6/7/17,243.66,54144311
6/6/17,243.21,50375430
6/5/17,243.99,44698825
6/2/17,244.17,88666128
6/1/17,243.36,68962024
5/31/17,241.44,91796016
5/30/17,241.5,35201897
5/26/17,241.71,46629905
5/25/17,241.76,64071661
5/24/17,240.61,49181099
5/23/17,240.05,48341683
5/22/17,239.52,61010602
5/19/17,238.31,115011373
5/18/17,236.77,107047656
5/17/17,235.82,172174107
5/16/17,240.08,51241791
5/15/17,240.3,61918937
5/12/17,238.98,53912730
5/11/17,239.38,62358346
5/10/17,239.87,54293799
5/9/17,239.44,51363200
5/8/17,239.66,48385730
5/5/17,239.7,62001269
5/4/17,238.76,61462732
5/3/17,238.48,73137731
5/2/17,238.77,57375732
