Date,SPY US 04/20/18 P265 Equity (1.) Hist IVol (Best),SPY US Equity (2.) Price,SPY US Equity (3.) Hist Vol (30),SPY US Equity (4.) Hist Vol (50)
4/19/18,16.9897995,268.89,21.03344013,20.98972579
4/18/18,19.47590065,270.39,21.03870504,20.9879438
4/17/18,18.10880089,270.19,21.03621796,21.45926742
4/16/18,15.15680027,267.33,20.78165151,23.51272907
4/13/18,14.8373003,265.15,20.93466533,23.92597666
4/12/18,17.15299988,265.93,20.98728439,23.92259771
4/11/18,19.18930054,263.76,21.24885472,23.82456409
4/10/18,20.36380005,265.15,21.39082482,23.8978094
4/9/18,19.57259941,261,20.98343046,23.57842753
4/6/18,17.06879997,259.72,21.28286271,23.73027409
4/5/18,17.72850037,265.64,20.93048313,23.22606401
4/4/18,17.85309982,263.56,20.77541865,23.12724679
4/3/18,19.97900009,260.77,20.49861793,22.96819024
4/2/18,21.91010094,257.47,20.06918077,22.83534836
3/29/18,18.0298996,263.15,19.11415781,22.38266201
3/28/18,17.3798008,259.83,19.11298352,22.14274295
3/27/18,17.31830025,260.6,19.60072273,22.28337885
3/26/18,17.75779915,265.11,18.94119159,21.97450164
3/23/18,15.01650047,258.05,17.61503477,21.04996181
3/22/18,18.14220047,263.67,16.93144278,20.596448
3/21/18,16.07209969,270.43,19.08576851,19.77490366
3/20/18,16.19809914,270.95,19.1536674,19.77988581
3/19/18,16.18110085,270.49,20.0039454,19.78058076
3/16/18,15.27880001,274.2,23.54297271,19.5866676
3/15/18,15.61159992,275,24.42835885,19.5941475
3/14/18,16.71409988,275.3,24.42840994,19.63893198
3/13/18,16.45980072,276.72,24.39397978,19.65173845
3/12/18,16.69319916,278.52,24.50599984,19.60769285
3/9/18,16.05439949,278.87,24.56943738,19.60376154
3/8/18,16.03380013,274.1,24.23249977,19.22119951
3/7/18,16.68659973,272.78,24.16761522,19.19817059
3/6/18,17.02009964,272.88,24.16753969,19.19796005
3/5/18,16.9368,272.19,24.16180792,19.19541788
3/2/18,16.58930016,269.08,24.01583404,19.01774472
3/1/18,16.84980011,267.7,24.00122135,19.00254777
2/28/18,16.68600082,271.65,23.65027011,18.74140701
2/27/18,17.15460014,274.43,23.67413431,18.58534539
2/26/18,16.05319977,277.9,23.39155144,18.35983864
2/23/18,15.52569962,274.71,23.20827286,18.18706737
2/22/18,15.40530014,270.4,22.79904272,17.83490817
2/21/18,17.06570053,270.05,22.79441486,17.84439385
2/20/18,16.99869919,271.4,22.7672595,17.83722237
2/16/18,16.56299973,273.11,22.69943495,17.77350562
2/15/18,16.44309998,273.03,22.78749418,17.77366387
2/14/18,15.83549976,269.59,22.49527007,17.5763018
2/13/18,16.71290016,266,22.19754317,17.31169436
2/12/18,16.78510094,265.34,22.29618769,17.30981942
2/9/18,18.70050049,261.5,21.83945442,17.09423336
2/8/18,18.35140038,257.63,21.31200045,16.72623384
2/7/18,17.73590088,267.67,17.96833432,14.3417929
2/6/18,18.29859924,269.13,17.89245892,14.27455403
2/5/18,25.97660065,263.93,16.8615416,13.57809601
2/2/18,16.46990013,275.45,10.6179268,9.062805643
2/1/18,15.93889999,281.58,7.875956969,7.324827487
1/31/18,16.17499924,281.9,8.010897972,7.293131339
1/30/18,16.79030037,281.76,8.117577402,7.369555664
1/29/18,16.71629906,284.68,7.181647266,6.963272111
1/26/18,15.5486002,286.58,6.918861965,6.86103573
1/25/18,15.09309959,283.3,6.361783885,6.574439402
1/24/18,14.95470047,283.18,6.342173189,6.569388767
1/23/18,14.88659954,283.29,6.298929406,6.567937622
1/22/18,14.58940029,282.69,6.371245203,6.689877392
1/19/18,13.95899963,280.41,6.124133382,6.522699174
1/18/18,14.17749977,279.14,6.106912621,6.508408912
1/17/18,13.95559978,279.61,6.240919155,6.464165511
1/16/18,13.3895998,276.97,5.853305295,6.20816111
1/12/18,12.68830013,277.92,5.759245536,6.106294572
1/11/18,12.19190025,276.12,5.967601013,5.994881117
1/10/18,12.00500011,274.12,5.749132261,5.836970889
1/9/18,12.17809963,274.54,6.224388681,5.91700092
1/8/18,11.83259964,273.92,6.262056449,6.120844084
1/5/18,11.69789982,273.42,6.264249011,6.120115785
1/4/18,11.40190029,271.61,6.124220063,6.165344452
1/3/18,11.20979977,270.47,6.256762214,6.12555207
1/2/18,10.93929958,268.77,6.083907675,6.107944979
12/29/17,11.18610001,266.86,5.953470714,6.014750846
12/28/17,11.0632,267.87,6.150904177,5.916980655
12/27/17,11.03670025,267.32,6.44937409,5.91125508
12/26/17,11.0401001,267.19,6.535059504,5.910590769
12/22/17,11.16030025,267.51,6.494651143,5.889974603
12/21/17,10.94139957,267.58,6.495704678,5.882915851
12/20/17,10.95479965,267.03,6.650467899,5.905490442
12/19/17,10.9612999,267.17,6.635270695,5.897077023
12/18/17,10.91629982,268.2,6.481701188,5.797720424
12/15/17,10.41959953,266.51,6.28777947,5.699936738
12/14/17,10.45930004,265.66,6.292287254,5.69498075
12/13/17,10.64410019,266.75,6.0909877,5.689407035
12/12/17,10.56280041,266.78,6.07701327,5.682681984
