Security,XEO UO 05/18/18 P1220 Index                                     ,
Start Date,1/22/18 0:00,
End Date,4/19/18 0:00,
Period,D,
Currency,USD,
,,
Date,PX_BID,PX_ASK
4/19/18,40.5,42.3
4/18/18,35.6,37.3
4/17/18,32,42
4/16/18,44.6,47
4/13/18,53.9,56.4
4/12/18,51.8,55.1
4/11/18,61.7,65.4
4/10/18,56,59.7
4/9/18,71.2,74.2
4/6/18,76.4,80.2
4/5/18,54.2,57.7
4/4/18,61.6,66.6
4/3/18,75.7,79.7
4/2/18,89,99
3/29/18,64.5,74.5
3/28/18,76.5,86.5
3/27/18,74,84
3/26/18,58.6,62.7
3/23/18,84.5,89.2
3/22/18,65.6,69.8
3/21/18,39.8,42.2
3/20/18,37.5,40.5
3/19/18,34,44
3/16/18,28.1,30.2
3/15/18,27.2,32.2
3/14/18,30.5,33.2
3/13/18,26.4,28.8
3/12/18,23.1,25.6
3/9/18,22.3,25.7
3/8/18,32.6,35.6
3/7/18,37.7,40.9
3/6/18,38.1,41
3/5/18,38.6,41.1
3/2/18,45.9,49.9
3/1/18,49.4,54.2
2/28/18,37.6,40.8
2/27/18,31.2,33.7
2/26/18,22.3,24.2
2/23/18,30.1,32.3
2/22/18,39.6,42.5
2/21/18,44.6,48.2
2/20/18,42.5,44.5
2/16/18,37.3,39.3
2/15/18,36.9,40.5
2/14/18,45,49.7
2/13/18,56.2,61.2
2/12/18,58.9,63.9
2/9/18,73.8,78.8
2/8/18,82,92
2/7/18,55.8,60.5
2/5/18,45.96393443,45.96393443
2/6/18,49.5,59.5
2/2/18,31.7,36.7
2/1/18,17.6,27
1/31/18,19.8,23.3
1/30/18,21.9,24.6
1/29/18,17.6,21.1
1/26/18,14.1,16.7
1/25/18,17.2,20.5
1/24/18,17.2,20.3
1/23/18,16.7,19.6
1/22/18,16.1,19.5
