Security,XEO Index                                                       ,
Start Date,1/2/08 0:00,
End Date,4/20/18 0:00,
Period,D,
Currency,USD,
,,
Date,PX_LAST,PX_VOLUME
4/20/18,1170.45,355894720
4/19/18,1181.89,245931184
4/18/18,1187.26,213330544
4/17/18,1188.39,226455664
4/16/18,1175.83,235932000
4/13/18,1167.5,228020496
4/12/18,1170.79,242802736
4/11/18,1160.58,211139936
4/10/18,1168.14,273910592
4/9/18,1148.03,273950336
4/6/18,1143.78,285017728
4/5/18,1169.17,236531200
4/4/18,1159.76,276803456
4/3/18,1146.26,292540320
4/2/18,1131.65,351688672
3/29/18,1157.37,362594944
3/28/18,1141.5,342391552
3/27/18,1143.74,339420480
3/26/18,1164.97,347694848
3/23/18,1133.01,350411360
3/22/18,1157.91,332117600
3/21/18,1189.53,263049968
3/20/18,1192.43,269517536
3/19/18,1192.11,296537248
3/16/18,1211.4,756781824
3/15/18,1210.77,224703424
3/14/18,1211.02,260674256
3/13/18,1218.31,256874160
3/12/18,1227.61,243722192
3/9/18,1228.97,249898784
3/8/18,1207.88,216954400
3/7/18,1201.86,238628400
3/6/18,1202.54,228746592
3/5/18,1201.89,256997696
3/2/18,1189.04,294024768
3/1/18,1184.54,334345952
2/28/18,1201.87,340293696
2/27/18,1216.31,278145376
2/26/18,1232.49,261839840
2/23/18,1215.35,214519328
2/22/18,1196.37,225737152
2/21/18,1194.38,275476736
2/20/18,1200.71,237883472
2/16/18,1208.88,294367584
2/15/18,1208.44,246773680
2/14/18,1193.24,278947808
2/13/18,1178.93,234067328
2/12/18,1175.78,342997760
2/9/18,1159.2,474746080
2/8/18,1142.28,430264416
2/7/18,1187.56,355429152
2/6/18,1194.49,544362048
2/5/18,1171.85,497541152
2/2/18,1224.69,341232608
2/1/18,1252.15,282764608
1/31/18,1251.42,350960416
1/30/18,1251.93,264278352
1/29/18,1265.56,251204464
1/26/18,1273.99,276982464
1/25/18,1258.04,251496944
1/24/18,1256.54,286801056
1/23/18,1257.48,251022000
1/22/18,1256.71,284956160
1/19/18,1245.7,374324384
1/18/18,1241.59,285977632
1/17/18,1243.38,324287360
1/16/18,1231.79,361076448
1/12/18,1234.55,273357856
1/11/18,1225.82,214306640
1/10/18,1217.95,236801904
1/9/18,1218.12,217342816
1/8/18,1216.1,225316992
1/5/18,1215.56,241593680
1/4/18,1206.26,235191520
1/3/18,1200.74,242079632
1/2/18,1193.55,224374544
12/29/17,1183.15,225491696
12/28/17,1189.29,123174464
12/27/17,1187.7,144866016
12/26/17,1186.62,136108272
12/22/17,1189.02,186150240
12/21/17,1190.39,239592528
12/20/17,1186.57,239183296
12/19/17,1188.29,248457408
12/18/17,1192.22,262397376
12/15/17,1186.68,755907200
12/14/17,1176.55,240875328
12/13/17,1180.24,246210256
12/12/17,1180.47,268082416
12/11/17,1176.45,228651936
12/8/17,1170.82,213919792
12/7/17,1164.6,230754832
12/6/17,1162.51,239108064
12/5/17,1162.64,282580288
12/4/17,1165.99,316237376
12/1/17,1166.19,310365568
11/30/17,1167.79,461667168
11/29/17,1158.25,293545216
11/28/17,1158.57,239288256
11/27/17,1147.11,208628416
11/24/17,1146.98,90041328
11/22/17,1144.5,172209248
11/21/17,1144.85,225126848
11/20/17,1136.2,197361584
11/17/17,1135.35,255866288
11/16/17,1139.91,220897856
11/15/17,1130.74,241594608
11/14/17,1136.74,250096304
11/13/17,1140.82,225826512
11/10/17,1140.39,220076208
11/9/17,1142.07,223438176
11/8/17,1145.43,225056000
11/7/17,1144.14,229240064
11/6/17,1143.77,239101376
11/3/17,1143.41,234411088
11/2/17,1139.47,249998352
11/1/17,1140.13,229153792
10/31/17,1136.83,268801056
10/30/17,1136.75,256246272
10/27/17,1140.09,307523424
10/26/17,1127.48,262347488
10/25/17,1127.44,269813536
10/24/17,1131.82,229956352
10/23/17,1130.15,241533376
10/20/17,1135.26,316748640
10/19/17,1130.71,214960688
10/18/17,1131.78,178505088
10/17/17,1130.97,189925840
10/16/17,1129.29,180134816
10/13/17,1126.16,226108720
10/12/17,1125.04,226605968
10/11/17,1128.89,218265280
10/10/17,1126.49,187184992
10/9/17,1123.61,177965200
10/6/17,1125.03,186615328
10/5/17,1126.5,197351136
10/4/17,1119.21,176432512
10/3/17,1119.35,171991056
10/2/17,1116.74,194832240
9/29/17,1112.19,236027504
9/28/17,1108.71,197227168
9/27/17,1107.37,226501520
9/26/17,1103.21,198082976
9/25/17,1103.6,259669120
9/22/17,1106.61,208002784
9/21/17,1106.39,195421600
9/20/17,1110.16,235995472
9/19/17,1109.26,207238032
9/18/17,1106.26,211614304
9/15/17,1105.11,646854336
9/14/17,1103.66,217470592
9/13/17,1104.88,199107792
9/12/17,1103.03,226152816
9/11/17,1098.54,221878160
9/8/17,1086.98,216921856
9/7/17,1090.41,239247648
9/6/17,1090.44,229157712
9/5/17,1086.74,247621152
9/1/17,1095.25,181717792
8/31/17,1093.78,323192512
8/30/17,1087.93,182689472
8/29/17,1083.41,168328160
8/28/17,1081.17,176818672
8/25/17,1080.02,177700592
8/24/17,1078.68,187068128
8/23/17,1081.27,175722560
8/22/17,1085.24,180835920
8/21/17,1074.72,200379648
8/18/17,1073.52,255604032
8/17/17,1076.11,229303456
8/16/17,1092.58,191672576
8/15/17,1091.76,173285696
8/14/17,1092.05,188938352
8/11/17,1081.8,182765632
8/10/17,1079.89,223367664
8/9/17,1095.14,188275936
8/8/17,1095.22,182632288
8/7/17,1097.21,175729792
8/4/17,1095.42,206465744
8/3/17,1092.9,193623104
8/2/17,1094.92,229635952
8/1/17,1092.41,221781840
7/31/17,1088.94,289005280
7/28/17,1089.53,213233648
7/27/17,1092.25,289591616
7/26/17,1091.47,220470288
7/25/17,1090.07,233153776
7/24/17,1086.82,230348128
7/21/17,1087.74,253473568
7/20/17,1089.26,230453808
7/19/17,1089.21,183324352
7/18/17,1083.95,182040080
7/17/17,1082.45,180685120
7/14/17,1083.13,191171152
7/13/17,1078.41,194783792
7/12/17,1075.97,205735408
7/11/17,1068.81,187599360
7/10/17,1069.62,178374688
7/7/17,1068.65,185326544
7/6/17,1062.75,222280000
7/5/17,1072.77,216041792
7/3/17,1070.5,159238640
6/30/17,1067.71,261827072
6/29/17,1066.68,268479840
6/28/17,1075.74,217202688
6/27/17,1066.36,227478176
6/26/17,1075.26,195533552
6/23/17,1075.43,393851840
6/22/17,1073.88,227251952
6/21/17,1074.44,213129920
6/20/17,1074.69,215682864
6/19/17,1081.24,216653232
6/16/17,1071.85,617005568
6/15/17,1071.66,212097728
6/14/17,1074,224873904
6/13/17,1074.64,219578624
6/12/17,1070.71,300469952
6/9/17,1071.9,293772352
6/8/17,1073.04,257707776
6/7/17,1073.47,215488864
6/6/17,1071.62,204394176
6/5/17,1074,172682688
6/2/17,1074.36,248134544
6/1/17,1069.74,220756576
5/31/17,1062.91,383392320
5/30/17,1064.26,188829184
5/26/17,1065.35,162180768
5/25/17,1064.93,203924704
5/24/17,1060.76,188682912
